month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06-20,0.233,0.197,0.663,0.587,2.520,0.007,0.013,0.000,0.000,0.040,0.000
06-21,0.170,0.037,0.053,1.157,2.713,0.003,0.013,0.003,0.000,0.000,0.000
06-22,0.170,0.470,0.000,1.177,2.510,0.000,0.023,0.013,0.000,0.000,0.000
06-23,0.277,0.473,0.000,0.617,0.257,0.000,0.023,0.377,0.000,0.000,0.050
06-24,0.317,0.473,0.000,0.030,0.050,0.000,0.020,0.373,0.003,0.003,0.650
06-25,0.317,0.003,0.003,0.033,0.000,0.000,1.633,0.363,0.003,0.047,0.050
06-26,0.060,0.000,0.293,0.110,0.000,0.000,2.120,0.000,0.033,0.050,0.000
06-27,0.000,0.000,0.320,0.133,0.000,0.000,2.417,0.007,0.057,0.063,0.000
06-28,0.003,0.000,0.327,0.100,0.000,0.000,0.803,0.020,0.077,0.043,0.000
06-29,0.003,0.000,0.040,0.143,0.000,0.000,0.317,0.020,0.050,0.070,0.000
06-30,0.003,0.000,0.020,0.137,0.003,0.000,0.020,0.013,0.043,0.060,0.000
07-01,0.000,0.000,0.023,0.180,0.020,0.027,0.000,0.000,0.050,0.040,0.080
07-02,0.000,0.000,0.020,0.087,0.020,0.073,0.003,0.000,0.093,0.050,0.240
07-03,0.000,0.000,0.623,0.070,0.017,0.810,0.033,0.000,0.643,0.050,0.010
07-04,0.000,0.000,0.613,0.027,0.000,0.783,0.033,0.000,1.963,0.057,0.000
07-05,0.013,0.000,0.613,0.000,0.053,0.737,0.030,0.000,5.083,0.050,0.000
07-06,0.033,0.000,0.003,0.000,0.150,0.017,0.000,0.000,4.707,0.043,0.000
07-07,0.043,0.000,0.000,0.000,0.297,0.027,0.000,0.003,3.373,0.033,0.000
07-08,0.030,0.000,0.083,0.000,0.243,0.027,0.000,0.020,0.213,0.127,0.000
07-09,0.040,0.000,0.083,0.000,0.147,0.010,0.000,0.020,0.020,0.127,0.000
07-10,0.030,0.000,0.083,0.000,0.000,0.000,0.003,0.017,0.007,0.127,0.000
07-11,0.063,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000
07-12,0.047,0.000,0.013,0.000,0.000,0.000,1.420,0.003,0.000,0.000,0.000
07-13,0.047,0.000,0.023,0.000,0.000,0.000,2.683,0.007,0.000,0.000,0.000
07-14,0.013,0.000,0.023,0.000,0.000,0.043,2.893,0.010,0.000,0.000,0.000
07-15,0.000,0.000,0.010,0.000,0.000,0.050,1.537,0.007,0.000,0.000,0.000
07-16,0.000,0.000,0.000,0.017,0.000,0.053,0.277,0.003,0.000,0.000,0.000
07-17,0.000,0.000,0.000,0.017,0.000,0.220,0.090,0.000,0.000,0.000,0.000
07-18,0.000,0.000,0.000,0.017,0.000,0.213,0.053,0.000,0.007,0.000,0.000
07-19,0.003,0.010,0.000,0.003,0.000,0.250,0.057,0.000,0.143,0.000,0.000
07-20,0.003,0.370,0.000,0.097,0.000,0.040,0.010,0.000,0.143,0.000,0.000
07-21,0.003,0.540,0.000,0.103,0.003,0.040,0.010,0.000,0.140,0.000,0.000
07-22,0.000,3.757,0.053,0.387,0.077,0.000,0.030,0.000,0.080,0.000,0.000
07-23,0.000,3.397,0.127,0.333,0.077,0.000,0.220,0.000,0.080,0.000,0.000
07-24,0.263,3.227,0.127,0.333,0.073,0.000,0.220,0.000,0.077,0.000,0.000
07-25,0.370,0.000,0.073,0.047,0.000,0.000,0.190,0.000,0.000,0.000,0.000
07-26,0.370,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
07-27,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.430
07-28,0.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020
07-29,0.683,0.587,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000
07-30,0.683,0.870,0.000,0.000,0.000,0.023,0.000,0.023,0.053,0.000,0.000
07-31,0.107,0.870,0.013,0.003,0.010,0.027,0.000,0.047,0.060,0.000,0.000
08-01,0.003,0.310,0.033,0.003,0.010,0.030,0.000,0.047,0.180,0.000,0.000
08-02,0.003,0.193,0.033,0.003,1.393,0.047,1.197,0.027,0.157,0.000,0.060
08-03,0.033,0.193,0.020,0.000,2.043,0.057,1.197,0.003,0.213,0.050,0.000
08-04,0.043,0.170,0.000,0.000,4.700,0.057,1.197,0.000,0.220,0.053,0.000
08-05,0.043,0.003,0.000,0.000,4.523,0.020,0.000,0.000,0.217,0.053,0.000
08-06,0.013,0.003,0.000,0.000,4.687,0.340,0.000,0.000,0.153,0.003,0.000
08-07,0.000,0.000,0.000,0.000,2.033,0.350,0.000,0.000,0.027,0.000,0.000
